Authors,Title,keywords,Abstract,Year of Publication,Publication Venue,Article Link,Bib,Source
"Chanyaswad, Thee and Al, Mert and Chang, J. Morris and Kung, S. Y.",Differential mutual information forward search for multi-kernel discriminant-component selection with an application to privacy-preserving classification,Kernel;Privacy;Measurement;Mutual information;Data privacy;Redundancy;Compressive Privacy;Differential Mutual Information (DMI);incremental forward search;Kernel Discriminant Component Analysis (KDCA);kernel selection;multi-kernel learning,"In machine learning, feature engineering has been a pivotal stage in building a high-quality predictor. Particularly, this work explores the multiple Kernel Discriminant Component Analysis (mKDCA) feature-map and its variants. However, seeking the right subset of kernels for mKDCA feature-map can be challenging. Therefore, we consider the problem of kernel selection, and propose an algorithm based on Differential Mutual Information (DMI) and incremental forward search. DMI serves as an effective metric for selecting kernels, as is theoretically supported by mutual information and Fisher's discriminant analysis. On the other hand, incremental forward search plays a role in removing redundancy among kernels. Finally, we illustrate the potential of the method via an application in privacy-aware classification, and show on three mobile-sensing datasets that selecting an effective set of kernels for mKDCA feature-maps can enhance the utility classification performance, while successfully preserve the data privacy. Specifically, the results show that the proposed DMI forward search method can perform better than the state-of-the-art, and, with much smaller computational cost, can perform as well as the optimal, yet computationally expensive, exhaustive search.",2017,2017 IEEE 27th International Workshop on Machine Learning for Signal Processing (MLSP),,"{'month': 'Sep.', 'issn': '', 'doi': '10.1109/MLSP.2017.8168177', 'keywords': 'Kernel;Privacy;Measurement;Mutual information;Data privacy;Redundancy;Compressive Privacy;Differential Mutual Information (DMI);incremental forward search;Kernel Discriminant Component Analysis (KDCA);kernel selection;multi-kernel learning', 'abstract': ""In machine learning, feature engineering has been a pivotal stage in building a high-quality predictor. Particularly, this work explores the multiple Kernel Discriminant Component Analysis (mKDCA) feature-map and its variants. However, seeking the right subset of kernels for mKDCA feature-map can be challenging. Therefore, we consider the problem of kernel selection, and propose an algorithm based on Differential Mutual Information (DMI) and incremental forward search. DMI serves as an effective metric for selecting kernels, as is theoretically supported by mutual information and Fisher's discriminant analysis. On the other hand, incremental forward search plays a role in removing redundancy among kernels. Finally, we illustrate the potential of the method via an application in privacy-aware classification, and show on three mobile-sensing datasets that selecting an effective set of kernels for mKDCA feature-maps can enhance the utility classification performance, while successfully preserve the data privacy. Specifically, the results show that the proposed DMI forward search method can perform better than the state-of-the-art, and, with much smaller computational cost, can perform as well as the optimal, yet computationally expensive, exhaustive search."", 'pages': '1-6', 'number': '', 'volume': '', 'year': '2017', 'title': 'Differential mutual information forward search for multi-kernel discriminant-component selection with an application to privacy-preserving classification', 'booktitle': '2017 IEEE 27th International Workshop on Machine Learning for Signal Processing (MLSP)', 'author': 'Chanyaswad, Thee and Al, Mert and Chang, J. Morris and Kung, S. Y.', 'ENTRYTYPE': 'inproceedings', 'ID': '8168177'}",IEEE Xplore
"Sexton, Julian and Chudnov, Andrey and Naumann, David A.",Spartan Jester: End-to-End Information Flow Control for Hybrid Android Applications,Androids;Humanoid robots;Java;Security;Tools;Monitoring;Lattices,"Web-based applications are attractive due to their portability. To leverage that, many mobile applications are hybrid, incorporating a web component that implements most of their functionality. While solutions for enforcing security exist for both mobile and web applications, enforcing and reasoning about the security of their combinations is difficult. We argue for a combination of static and dynamic analysis for assurance of end-to-end confidentiality in hybrid apps. We show how information flows in hybrid Android applications can be secured through use of SPARTA, a static analyzer for Android/Java, and JEST, a dynamic monitor for JavaScript, connected by a compatibility layer that translates policies and value representations. This paper reports on our preliminary investigation using a case study.",2017,2017 IEEE Security and Privacy Workshops (SPW),,"{'month': 'May', 'issn': '', 'doi': '10.1109/SPW.2017.15', 'keywords': 'Androids;Humanoid robots;Java;Security;Tools;Monitoring;Lattices', 'abstract': 'Web-based applications are attractive due to their portability. To leverage that, many mobile applications are hybrid, incorporating a web component that implements most of their functionality. While solutions for enforcing security exist for both mobile and web applications, enforcing and reasoning about the security of their combinations is difficult. We argue for a combination of static and dynamic analysis for assurance of end-to-end confidentiality in hybrid apps. We show how information flows in hybrid Android applications can be secured through use of SPARTA, a static analyzer for Android/Java, and JEST, a dynamic monitor for JavaScript, connected by a compatibility layer that translates policies and value representations. This paper reports on our preliminary investigation using a case study.', 'pages': '157-162', 'number': '', 'volume': '', 'year': '2017', 'title': 'Spartan Jester: End-to-End Information Flow Control for Hybrid Android Applications', 'booktitle': '2017 IEEE Security and Privacy Workshops (SPW)', 'author': 'Sexton, Julian and Chudnov, Andrey and Naumann, David A.', 'ENTRYTYPE': 'inproceedings', 'ID': '8227302'}",IEEE Xplore
"Liang, Jia and Xiao, Di and Huang, Hui and Li, Min",Multilevel Privacy Preservation Scheme Based on Compressed Sensing,Data privacy;Encryption;Privacy;Task analysis;Sensors;Internet of Things;Image reconstruction;Compressed sensing (CS);discriminant component analysis (DCA);multilevel encryption;privacy protection,"Although the extensive application of the Internet of Things brings great convenience, it raises the concern of privacy leakage in the processes of data acquisition, analyzing, and sharing as well. In this article, multilevel privacy protection via compressed sensing (CS) is proposed, which has the advantages of compressed sampling, protection of data privacy, and controllability of data access. At the data acquisition end, the CS technique suitable for a resource-constrained environment is employed to sample and encrypt signals with the assistance of discriminant component analysis. Then, the encrypted data will be transmitted to the cloud in time. On the cloud service, signals protected by CS rarely disclose private information to malicious attackers, and they will be accessed by two-class authorized entities. One is the semiauthorized user with low privilege who can only get the features from encrypted data for the subsequent inference; the other is the full-authorized user who is capable of reconstructing the original data. We demonstrate the scheme through two case studies of a face recognition system and a human activity recognition system and analyze its performance.",2023,IEEE Transactions on Industrial Informatics,,"{'month': 'June', 'issn': '1941-0050', 'doi': '10.1109/TII.2022.3209153', 'keywords': 'Data privacy;Encryption;Privacy;Task analysis;Sensors;Internet of Things;Image reconstruction;Compressed sensing (CS);discriminant component analysis (DCA);multilevel encryption;privacy protection', 'abstract': 'Although the extensive application of the Internet of Things brings great convenience, it raises the concern of privacy leakage in the processes of data acquisition, analyzing, and sharing as well. In this article, multilevel privacy protection via compressed sensing (CS) is proposed, which has the advantages of compressed sampling, protection of data privacy, and controllability of data access. At the data acquisition end, the CS technique suitable for a resource-constrained environment is employed to sample and encrypt signals with the assistance of discriminant component analysis. Then, the encrypted data will be transmitted to the cloud in time. On the cloud service, signals protected by CS rarely disclose private information to malicious attackers, and they will be accessed by two-class authorized entities. One is the semiauthorized user with low privilege who can only get the features from encrypted data for the subsequent inference; the other is the full-authorized user who is capable of reconstructing the original data. We demonstrate the scheme through two case studies of a face recognition system and a human activity recognition system and analyze its performance.', 'pages': '7435-7444', 'number': '6', 'volume': '19', 'year': '2023', 'title': 'Multilevel Privacy Preservation Scheme Based on Compressed Sensing', 'journal': 'IEEE Transactions on Industrial Informatics', 'author': 'Liang, Jia and Xiao, Di and Huang, Hui and Li, Min', 'ENTRYTYPE': 'article', 'ID': '9903332'}",IEEE Xplore
"Deng, Robert and Qiu, Ying and Zhou, Jianying and Bao, Feng",Protecting Location Information of Mobile Nodes in Mobile IPv6,Protection;Portable computers;Privacy;Monitoring;Standards organizations;Tunneling;Personal digital assistants;Mobile computing;Protocols;Internet;Security;Pricacy Location;Mobile IPv6,"Mobile IPv6 is an IP layer mobility protocol which allows mobile nodes to remain reachable while moving around in the Internet. In the current IETF Mobile IPv6 specifications (D. Johnson et al., 2004), when a mobile node roams, its location movement can be tracked by simply monitoring the IP addresses in IP packets. Recently, the issue of protecting location information in mobile IPv6 has received increasing attention, especially within the IETF and the 3GPP standard bodies. In this paper we propose a technique for hiding a mobile node's location movement information from eavesdroppers during route optimization and as well as from its correspondent node during reverse tunneling. The proposed technique is highly efficient and fully compatible with the base mobile IPv6 operation.",2006,2006 First International Conference on Communications and Networking in China,,"{'month': 'Oct', 'issn': '', 'doi': '10.1109/CHINACOM.2006.344648', 'keywords': 'Protection;Portable computers;Privacy;Monitoring;Standards organizations;Tunneling;Personal digital assistants;Mobile computing;Protocols;Internet;Security;Pricacy Location;Mobile IPv6', 'abstract': ""Mobile IPv6 is an IP layer mobility protocol which allows mobile nodes to remain reachable while moving around in the Internet. In the current IETF Mobile IPv6 specifications (D. Johnson et al., 2004), when a mobile node roams, its location movement can be tracked by simply monitoring the IP addresses in IP packets. Recently, the issue of protecting location information in mobile IPv6 has received increasing attention, especially within the IETF and the 3GPP standard bodies. In this paper we propose a technique for hiding a mobile node's location movement information from eavesdroppers during route optimization and as well as from its correspondent node during reverse tunneling. The proposed technique is highly efficient and fully compatible with the base mobile IPv6 operation."", 'pages': '1-7', 'number': '', 'volume': '', 'year': '2006', 'title': 'Protecting Location Information of Mobile Nodes in Mobile IPv6', 'booktitle': '2006 First International Conference on Communications and Networking in China', 'author': 'Deng, Robert and Qiu, Ying and Zhou, Jianying and Bao, Feng', 'ENTRYTYPE': 'inproceedings', 'ID': '4149901'}",IEEE Xplore
"Shen, Xicong and Liu, Ying",Distributed Differential Utility/Cost Analysis for Privacy Protection,Privacy;Data privacy;Optimization;Eigenvalues and eigenfunctions;Matrix decomposition;Distributed databases;Task analysis;Compressive privacy;distributed learning;differential utility/cost analysis;dimension reduction;diffusion,"In the era of Big Data, as vast amounts of data are collected and shared among collaborators or uploaded to the Internet, the attacks on data privacy become more and more serious. Compressive privacy (CP) is a kind of privacy-preserving dimension-reduced projection schemes such that the projected data can be well used for the intended utility task but not for malicious applications. Nevertheless, most of existing CP approaches belong to centralized processing, which are not applicable to the cases that data is dispersedly collected/stored at distributed nodes and cannot be centralized to one node for processing due to various reasons. To tackle this problem, we propose a distributed differential utility/cost analysis (dDUCA), in which each node in the network is only allowed to exchange and combine the compressive-and-lossy projection matrix with its one-hop neighbors. Using the projection matrix, the classification of the projected data is performed. Experiments on several datasets confirm the effectiveness of the proposed method in terms of both privacy protection and utility retention.",2019,IEEE Signal Processing Letters,,"{'month': 'Oct', 'issn': '1558-2361', 'doi': '10.1109/LSP.2019.2932915', 'keywords': 'Privacy;Data privacy;Optimization;Eigenvalues and eigenfunctions;Matrix decomposition;Distributed databases;Task analysis;Compressive privacy;distributed learning;differential utility/cost analysis;dimension reduction;diffusion', 'abstract': 'In the era of Big Data, as vast amounts of data are collected and shared among collaborators or uploaded to the Internet, the attacks on data privacy become more and more serious. Compressive privacy (CP) is a kind of privacy-preserving dimension-reduced projection schemes such that the projected data can be well used for the intended utility task but not for malicious applications. Nevertheless, most of existing CP approaches belong to centralized processing, which are not applicable to the cases that data is dispersedly collected/stored at distributed nodes and cannot be centralized to one node for processing due to various reasons. To tackle this problem, we propose a distributed differential utility/cost analysis (dDUCA), in which each node in the network is only allowed to exchange and combine the compressive-and-lossy projection matrix with its one-hop neighbors. Using the projection matrix, the classification of the projected data is performed. Experiments on several datasets confirm the effectiveness of the proposed method in terms of both privacy protection and utility retention.', 'pages': '1436-1440', 'number': '10', 'volume': '26', 'year': '2019', 'title': 'Distributed Differential Utility/Cost Analysis for Privacy Protection', 'journal': 'IEEE Signal Processing Letters', 'author': 'Shen, Xicong and Liu, Ying', 'ENTRYTYPE': 'article', 'ID': '8788609'}",IEEE Xplore
"Scoccia, Gian Luca and Autili, Marco and Stilo, Giovanni and Inverardi, Paola",An empirical study of privacy labels on the Apple iOS mobile app store,Data privacy;Privacy;Regulators;Decision making;Data collection;Mobile applications;Software engineering;iOS;Apps;Privacy,"Privacy labels provide an easy and recognizable overview of data collection practices adopted by mobile apps developers. Specifically, on the Apple App Store, privacy labels are displayed on each mobile app's page and summarize what data is collected by the app, how it is used, and for what purposes it is needed. Starting from the release of iOS version 14.3 developers are required to provide privacy labels for their applications. We conducted a large-scale empirical study, collecting and analyzing the privacy labels of 17, 312 apps published on the App Store, to understand and characterize how sensitive data is collected and shared. The results of our analysis highlight important criticalities about the collection and sharing of personal data for tracking purposes. In particular, on average free applications collect more sensitive data, the majority of data is collected in an unanonimyzed form, and a wide range of sensitive information are collected for tracking purposes. The analysis provides also evidence to support the decision-making of users, platform maintainers, and regulators. Furthermore, we repeated the data collection and analysis after seven months, following the introduction of additional run-time tracking controls by Apple. Comparing the two datasets, we observed that the newly introduced measures resulted in a statistically significant decrease in the number of apps that collect data for tracking purposes. At the same time, we observed a growth in overall data collection.",2022,2022 IEEE/ACM 9th International Conference on Mobile Software Engineering and Systems (MobileSoft),,"{'month': 'May', 'issn': '', 'doi': '10.1145/3524613.3527813', 'keywords': 'Data privacy;Privacy;Regulators;Decision making;Data collection;Mobile applications;Software engineering;iOS;Apps;Privacy', 'abstract': ""Privacy labels provide an easy and recognizable overview of data collection practices adopted by mobile apps developers. Specifically, on the Apple App Store, privacy labels are displayed on each mobile app's page and summarize what data is collected by the app, how it is used, and for what purposes it is needed. Starting from the release of iOS version 14.3 developers are required to provide privacy labels for their applications. We conducted a large-scale empirical study, collecting and analyzing the privacy labels of 17, 312 apps published on the App Store, to understand and characterize how sensitive data is collected and shared. The results of our analysis highlight important criticalities about the collection and sharing of personal data for tracking purposes. In particular, on average free applications collect more sensitive data, the majority of data is collected in an unanonimyzed form, and a wide range of sensitive information are collected for tracking purposes. The analysis provides also evidence to support the decision-making of users, platform maintainers, and regulators. Furthermore, we repeated the data collection and analysis after seven months, following the introduction of additional run-time tracking controls by Apple. Comparing the two datasets, we observed that the newly introduced measures resulted in a statistically significant decrease in the number of apps that collect data for tracking purposes. At the same time, we observed a growth in overall data collection."", 'pages': '114-124', 'number': '', 'volume': '', 'year': '2022', 'title': 'An empirical study of privacy labels on the Apple iOS mobile app store', 'booktitle': '2022 IEEE/ACM 9th International Conference on Mobile Software Engineering and Systems (MobileSoft)', 'author': 'Scoccia, Gian Luca and Autili, Marco and Stilo, Giovanni and Inverardi, Paola', 'ENTRYTYPE': 'inproceedings', 'ID': '9797333'}",IEEE Xplore
"Hume, Alethia and Ferreira, Nicolás and Cernuzzi, Luca",The design of a privacy dashboard for an academic environment based on participatory design,Privacy;Conferences;Art;Software;Law;Human computer interaction;Usability;privacy;dashboard;participatory design,"In today's world, characterized by the massive generation of data, a major problem related to data manipulation occurs when people's privacy is violated. To face this situation different regulations and solutions, to help users get in control over their data, emerged. However, many of the solutions require a certain level of knowledge in the field of privacy or offer unclear information that does not facilitate a real control of their data by the users. Added to this is the unfriendly user interface design as one of the factors that prevents users from managing their privacy settings effectively. Thus, in this work we explore the effect of the application of Participatory Design (PD) techniques in the implementation of privacy enhancing technologies. In particular, we focus on the use of PD for the design of a privacy dashboard that encourages the immersion of users with privacy issues and gives them greater control with a user interface according to usability criteria. The evaluation of the PD process, which has resulted in a high-fidelity prototype of the dashboard, shows encouraging results and greater user immersion in privacy management.",2021,2021 XLVII Latin American Computing Conference (CLEI),,"{'month': 'Oct', 'issn': '', 'doi': '10.1109/CLEI53233.2021.9640155', 'keywords': 'Privacy;Conferences;Art;Software;Law;Human computer interaction;Usability;privacy;dashboard;participatory design', 'abstract': ""In today's world, characterized by the massive generation of data, a major problem related to data manipulation occurs when people's privacy is violated. To face this situation different regulations and solutions, to help users get in control over their data, emerged. However, many of the solutions require a certain level of knowledge in the field of privacy or offer unclear information that does not facilitate a real control of their data by the users. Added to this is the unfriendly user interface design as one of the factors that prevents users from managing their privacy settings effectively. Thus, in this work we explore the effect of the application of Participatory Design (PD) techniques in the implementation of privacy enhancing technologies. In particular, we focus on the use of PD for the design of a privacy dashboard that encourages the immersion of users with privacy issues and gives them greater control with a user interface according to usability criteria. The evaluation of the PD process, which has resulted in a high-fidelity prototype of the dashboard, shows encouraging results and greater user immersion in privacy management."", 'pages': '1-10', 'number': '', 'volume': '', 'year': '2021', 'title': 'The design of a privacy dashboard for an academic environment based on participatory design', 'booktitle': '2021 XLVII Latin American Computing Conference (CLEI)', 'author': 'Hume, Alethia and Ferreira, Nicolás and Cernuzzi, Luca', 'ENTRYTYPE': 'inproceedings', 'ID': '9640155'}",IEEE Xplore
"Feltus, Christophe and Grandjean, Thierry and Aubert, Jocelyn and Khadraoui, Djamel",Towards a Standard-Based Security and Privacy of IoT System's Services,"Internet of Things;Security;Privacy;Monitoring;ISO Standards;IEC Standards;IoT security, IoT privacy, system's services, system assessment, system monitoring, standard-based","The Internet of Things (IoT) industry increases rapidly and becomes progressively more devoted to critical business services. IoT adoption generates two kinds of challenges: cybersecurity risks and privacy concerns. In order to generate a trust environment and provide confidence to IoT business services, LIST will partnered with private companies to implement an integrated framework and software tools for assessing and monitoring IoT system's service security and privacy. SPRINT assessment and monitoring foresees (1) an aggregated publicly available security and privacy integrated referential database dedicated to IoT services (SPRINT-REF), and (2), an IoT service-oriented assessment and monitoring methods based on this referential (SPRINT-METH). Compared to existing approaches, SPRINT-METH innovation is that it is service-oriented rather than device-oriented, as well as based recognized existing professional standards. Finally, the SPRINT toolbox (3) will include two assets: a software web service component aiming to assess the IoT system's service at the time of design, and an IoT Security Operations Centre to monitor IoT security and privacy at run time (SPRINT-TOOL).",2018,2018 International Conference on Computational Science and Computational Intelligence (CSCI),,"{'month': 'Dec', 'issn': '', 'doi': '10.1109/CSCI46756.2018.00201', 'keywords': ""Internet of Things;Security;Privacy;Monitoring;ISO Standards;IEC Standards;IoT security, IoT privacy, system's services, system assessment, system monitoring, standard-based"", 'abstract': ""The Internet of Things (IoT) industry increases rapidly and becomes progressively more devoted to critical business services. IoT adoption generates two kinds of challenges: cybersecurity risks and privacy concerns. In order to generate a trust environment and provide confidence to IoT business services, LIST will partnered with private companies to implement an integrated framework and software tools for assessing and monitoring IoT system's service security and privacy. SPRINT assessment and monitoring foresees (1) an aggregated publicly available security and privacy integrated referential database dedicated to IoT services (SPRINT-REF), and (2), an IoT service-oriented assessment and monitoring methods based on this referential (SPRINT-METH). Compared to existing approaches, SPRINT-METH innovation is that it is service-oriented rather than device-oriented, as well as based recognized existing professional standards. Finally, the SPRINT toolbox (3) will include two assets: a software web service component aiming to assess the IoT system's service at the time of design, and an IoT Security Operations Centre to monitor IoT security and privacy at run time (SPRINT-TOOL)."", 'pages': '1036-1039', 'number': '', 'volume': '', 'year': '2018', 'title': ""Towards a Standard-Based Security and Privacy of IoT System's Services"", 'booktitle': '2018 International Conference on Computational Science and Computational Intelligence (CSCI)', 'author': 'Feltus, Christophe and Grandjean, Thierry and Aubert, Jocelyn and Khadraoui, Djamel', 'ENTRYTYPE': 'inproceedings', 'ID': '8947691'}",IEEE Xplore
"Liu, Changchang and Lee, Wei-Han and Calo, Seraphin",Neuraltran: Optimal Data Transformation for Privacy-Preserving Machine Learning by Leveraging Neural Networks,Privacy;Data privacy;Task analysis;Mutual information;Neural networks;Markov processes;Optimization,"In this work, we develop a new data transformation technique to mediate privacy-preserving access to data while achieving machine learning (ML) tasks. Specifically, we first leverage mutual information in information theory to quantify the utility-providing information (corresponding to any ML task) and the privacy information (could be arbitrary information specified by the users). We further convert the optimization of utility-privacy tradeoff into training a novel neural network (named as NeuralTran) which consists of three modules: transformation module, utility module and privacy module. NeuralTran can be leveraged to automatically transform the input data to ensure that only utility-providing information is kept while the private information is removed. Through extensive experiments on real world datasets, we show the effectiveness of NeuralTran in balancing utility and privacy as well as its advantages over previous approaches.",2020,2020 50th Annual IEEE-IFIP International Conference on Dependable Systems and Networks-Supplemental Volume (DSN-S),,"{'month': 'June', 'issn': '', 'doi': '10.1109/DSN-S50200.2020.00018', 'keywords': 'Privacy;Data privacy;Task analysis;Mutual information;Neural networks;Markov processes;Optimization', 'abstract': 'In this work, we develop a new data transformation technique to mediate privacy-preserving access to data while achieving machine learning (ML) tasks. Specifically, we first leverage mutual information in information theory to quantify the utility-providing information (corresponding to any ML task) and the privacy information (could be arbitrary information specified by the users). We further convert the optimization of utility-privacy tradeoff into training a novel neural network (named as NeuralTran) which consists of three modules: transformation module, utility module and privacy module. NeuralTran can be leveraged to automatically transform the input data to ensure that only utility-providing information is kept while the private information is removed. Through extensive experiments on real world datasets, we show the effectiveness of NeuralTran in balancing utility and privacy as well as its advantages over previous approaches.', 'pages': '21-24', 'number': '', 'volume': '', 'year': '2020', 'title': 'Neuraltran: Optimal Data Transformation for Privacy-Preserving Machine Learning by Leveraging Neural Networks', 'booktitle': '2020 50th Annual IEEE-IFIP International Conference on Dependable Systems and Networks-Supplemental Volume (DSN-S)', 'author': 'Liu, Changchang and Lee, Wei-Han and Calo, Seraphin', 'ENTRYTYPE': 'inproceedings', 'ID': '9159143'}",IEEE Xplore
"Zhong, Haoti and Li, Hao and Squicciarini, Anna and Rajtmajer, Sarah and Miller, David",Toward Image Privacy Classification and Spatial Attribution of Private Content,Privacy;Training;Machine learning;Task analysis;Image color analysis;Feature extraction;Histograms,"Machine labeling of image content as private or public is a notoriously difficult problem, with the usual image processing challenges compounded by the highly personal, subjective, and contextual nature of access control decision making. In general, a user's privacy expectation for a given image is consequential to specific contents therein and the presence of sensitive content somewhere in the image is sufficient to warrant a private label. In this work, we extend the problem of determining a single privacy label for a given image to jointly inferring a privacy label and detecting the specific areas of sensitive content within a privately labeled image. We propose a stochastic spatial attribution model which exploits sophisticated (deep neural net derived) image features over randomly selected image patches, as well as image saliency quantification. We validate our detected private regions through extensive user study experiments. This effort to achieve spatial attribution of private image content helps to lay a foundation for warning mechanisms which may serve to aid both social media sites and their users.",2019,2019 IEEE International Conference on Big Data (Big Data),,"{'month': 'Dec', 'issn': '', 'doi': '10.1109/BigData47090.2019.9006510', 'keywords': 'Privacy;Training;Machine learning;Task analysis;Image color analysis;Feature extraction;Histograms', 'abstract': ""Machine labeling of image content as private or public is a notoriously difficult problem, with the usual image processing challenges compounded by the highly personal, subjective, and contextual nature of access control decision making. In general, a user's privacy expectation for a given image is consequential to specific contents therein and the presence of sensitive content somewhere in the image is sufficient to warrant a private label. In this work, we extend the problem of determining a single privacy label for a given image to jointly inferring a privacy label and detecting the specific areas of sensitive content within a privately labeled image. We propose a stochastic spatial attribution model which exploits sophisticated (deep neural net derived) image features over randomly selected image patches, as well as image saliency quantification. We validate our detected private regions through extensive user study experiments. This effort to achieve spatial attribution of private image content helps to lay a foundation for warning mechanisms which may serve to aid both social media sites and their users."", 'pages': '1351-1360', 'number': '', 'volume': '', 'year': '2019', 'title': 'Toward Image Privacy Classification and Spatial Attribution of Private Content', 'booktitle': '2019 IEEE International Conference on Big Data (Big Data)', 'author': 'Zhong, Haoti and Li, Hao and Squicciarini, Anna and Rajtmajer, Sarah and Miller, David', 'ENTRYTYPE': 'inproceedings', 'ID': '9006510'}",IEEE Xplore
"Ovi, Pretom Roy and Gangopadhyay, Aryya and Erbacher, Robert F. and Busart, Carl",Secure Federated Training: Detecting Compromised Nodes and Identifying the Type of Attacks,Training;Data privacy;Toxicology;Federated learning;Training data;Process control;Data models;data level poisoning;model level poisoning;federated training;adversarial attacks;identify attacks,"Federated learning (FL) allows a set of clients to collaboratively train a model without sharing private data. As a result, FL has limited control over the local data and corresponding training process. Therefore, it is susceptible to poisoning attacks in which malicious clients use malicious training data or local updates to poison the global model. In this work, we first studied the data level and model level poisoning attacks. We simulated model poisoning attacks by tampering the local model updates during each round of communication and data poisoning attacks by training a few clients on malicious data. And clients under such attacks carry faulty information to the server, poison the global model, and restrict it from convergence. Therefore, detecting clients under attacks as well as identifying the type of attacks are required to recover the clients from their malicious status. To address these issues, we proposed a way under federated framework that enables the detection of malicious clients and attack types while ensuring data privacy. Our clustering-based approach utilizes the neuron’s activations from the local models to identify the type of poisoning attacks. We also proposed to check the weight distribution of local model updates among the participating clients to detect malicious clients. Our experimental results validated the robustness of the proposed framework against the attacks mentioned above by successfully detecting the compromised clients and the attack types. Moreover, the global model trained on MNIST data couldn’t reach the optimal point even after 75 rounds because of malicious clients, whereas the proposed approach by detecting the malicious clients ensured convergence within only 30 rounds and 40 rounds in independent and identically distributed (IID) and non- independent and identically distributed (non-IID) setup respectively.",2022,2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),,"{'month': 'Dec', 'issn': '', 'doi': '10.1109/ICMLA55696.2022.00183', 'keywords': 'Training;Data privacy;Toxicology;Federated learning;Training data;Process control;Data models;data level poisoning;model level poisoning;federated training;adversarial attacks;identify attacks', 'abstract': 'Federated learning (FL) allows a set of clients to collaboratively train a model without sharing private data. As a result, FL has limited control over the local data and corresponding training process. Therefore, it is susceptible to poisoning attacks in which malicious clients use malicious training data or local updates to poison the global model. In this work, we first studied the data level and model level poisoning attacks. We simulated model poisoning attacks by tampering the local model updates during each round of communication and data poisoning attacks by training a few clients on malicious data. And clients under such attacks carry faulty information to the server, poison the global model, and restrict it from convergence. Therefore, detecting clients under attacks as well as identifying the type of attacks are required to recover the clients from their malicious status. To address these issues, we proposed a way under federated framework that enables the detection of malicious clients and attack types while ensuring data privacy. Our clustering-based approach utilizes the neuron’s activations from the local models to identify the type of poisoning attacks. We also proposed to check the weight distribution of local model updates among the participating clients to detect malicious clients. Our experimental results validated the robustness of the proposed framework against the attacks mentioned above by successfully detecting the compromised clients and the attack types. Moreover, the global model trained on MNIST data couldn’t reach the optimal point even after 75 rounds because of malicious clients, whereas the proposed approach by detecting the malicious clients ensured convergence within only 30 rounds and 40 rounds in independent and identically distributed (IID) and non- independent and identically distributed (non-IID) setup respectively.', 'pages': '1115-1120', 'number': '', 'volume': '', 'year': '2022', 'title': 'Secure Federated Training: Detecting Compromised Nodes and Identifying the Type of Attacks', 'booktitle': '2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA)', 'author': 'Ovi, Pretom Roy and Gangopadhyay, Aryya and Erbacher, Robert F. and Busart, Carl', 'ENTRYTYPE': 'inproceedings', 'ID': '10069230'}",IEEE Xplore
"Daniels, Mark and Farkas, Csilla",Health data privacy: A case of undesired inferences,Privacy;Ontologies;Data privacy;Medical services;Prototypes;Databases;Resource description framework,"In this work, we investigate privacy violations that occur when non-confidential medical data is combined with domain ontologies to infer confidential data. We propose a framework to detect such privacy violations and to eliminate undesired inferences. Our inference channel removal is based on modifying data that contribute to an inference. We show that our method is sound and complete. Soundness means that we modify only data items that lead to undesired inferences. Completeness means that we detect all inferences leading to undesired data disclosures. Finally, we show that our approach preserves data availability by minimizing the number of data items to be modified. An important aspect of our approach is that it sets the foundation for creating patient-specific privacy policies; an emerging need in the healthcare domain.",2018,2018 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI),,"{'month': 'March', 'issn': '', 'doi': '10.1109/BHI.2018.8333426', 'keywords': 'Privacy;Ontologies;Data privacy;Medical services;Prototypes;Databases;Resource description framework', 'abstract': 'In this work, we investigate privacy violations that occur when non-confidential medical data is combined with domain ontologies to infer confidential data. We propose a framework to detect such privacy violations and to eliminate undesired inferences. Our inference channel removal is based on modifying data that contribute to an inference. We show that our method is sound and complete. Soundness means that we modify only data items that lead to undesired inferences. Completeness means that we detect all inferences leading to undesired data disclosures. Finally, we show that our approach preserves data availability by minimizing the number of data items to be modified. An important aspect of our approach is that it sets the foundation for creating patient-specific privacy policies; an emerging need in the healthcare domain.', 'pages': '291-294', 'number': '', 'volume': '', 'year': '2018', 'title': 'Health data privacy: A case of undesired inferences', 'booktitle': '2018 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)', 'author': 'Daniels, Mark and Farkas, Csilla', 'ENTRYTYPE': 'inproceedings', 'ID': '8333426'}",IEEE Xplore
